source,date,count
A000060,02/02/23,66
A000060,03/02/23,70
A000060,04/02/23,65
A000060,05/02/23,68
A000060,06/02/23,73
A000060,07/02/23,66
A000060,08/02/23,71
A000060,09/02/23,70
A000060,10/02/23,62
A000060,11/02/23,78
A000060,12/02/23,78
A000060,13/02/23,69
A000060,14/02/23,76
A000060,15/02/23,66
A000060,16/02/23,78
A000060,17/02/23,65
A000060,18/02/23,60
A000060,19/02/23,78
A000060,20/02/23,82
A000060,21/02/23,74
A000065,02/02/23,32
A000065,03/02/23,36
A000065,04/02/23,42
A000065,05/02/23,38
A000065,06/02/23,32
A000065,07/02/23,28
A000065,08/02/23,30
A000065,09/02/23,29
A000065,10/02/23,38
A000065,11/02/23,37
A000065,12/02/23,29
A000065,13/02/23,25
A000065,14/02/23,31
A000065,15/02/23,37
A000065,16/02/23,32
A000065,17/02/23,37
A000065,18/02/23,38
A000065,19/02/23,33
A000065,20/02/23,28
A000065,21/02/23,29
A000081,02/02/23,15
A000081,03/02/23,14
A000081,04/02/23,17
A000081,05/02/23,16
A000081,06/02/23,10
A000081,07/02/23,14
A000081,08/02/23,16
A000081,09/02/23,13
A000081,10/02/23,16
A000081,11/02/23,16
A000081,12/02/23,17
A000081,13/02/23,10
A000081,14/02/23,13
A000081,15/02/23,16
A000081,16/02/23,17
A000081,17/02/23,14
A000081,18/02/23,17
A000081,19/02/23,15
A000081,20/02/23,11
A000081,21/02/23,15
A000119,02/02/23,48
A000119,03/02/23,48
A000119,04/02/23,52
A000119,05/02/23,62
A000119,06/02/23,48
A000119,07/02/23,45
A000119,08/02/23,45
A000119,09/02/23,52
A000119,10/02/23,45
A000119,11/02/23,59
A000119,12/02/23,53
A000119,13/02/23,43
A000119,14/02/23,51
A000119,15/02/23,47
A000119,16/02/23,62
A000119,17/02/23,43
A000119,18/02/23,43
A000119,19/02/23,53
A000119,20/02/23,49
A000119,21/02/23,47
A000120,02/02/23,48
A000120,03/02/23,48
A000120,04/02/23,52
A000120,05/02/23,62
A000120,06/02/23,48
A000120,07/02/23,45
A000120,08/02/23,45
A000120,09/02/23,52
A000120,10/02/23,45
A000120,11/02/23,59
A000120,12/02/23,53
A000120,13/02/23,43
A000120,14/02/23,51
A000120,15/02/23,47
A000120,16/02/23,62
A000120,17/02/23,43
A000120,18/02/23,43
A000120,19/02/23,53
A000120,20/02/23,49
A000120,21/02/23,47
