source,Date
CPXD,2021-01-01
QRSTM,2021-01-01
MNOM,2021-01-01
JKLM,2021-01-01
GHIM,2021-01-01
DEFM,2021-01-01
ABCM,2021-01-01
XYZF,2021-01-01
UVWF,2021-01-01
QRSTF,2021-01-01
MNOF,2021-01-01
JKLF,2021-01-01
GHIF,2021-01-01
DEFF,2021-01-01
ABCF,2021-01-01
MTXD,2021-01-01
KNXD,2021-01-01
NCXD,2021-01-01
GLXD,2021-01-01
TPXD,2021-01-01
MCXD,2021-01-01
TLXD,2021-01-01
NFXD,2021-01-01
KKXD,2021-01-01
UVWM,2021-01-01
XYZM,2021-01-01
MKXD,2021-01-01
CPXD,2021-01-04
MTXD,2021-01-04
KKXD,2021-01-04
GLXD,2021-01-04
NFXD,2021-01-04
MCXD,2021-01-04
TPXD,2021-01-04
MKXD,2021-01-04
KNXD,2021-01-04
TLXD,2021-01-04
NCXD,2021-01-04
TLXD,2021-01-05
KKXD,2021-01-05
TPXD,2021-01-05
NCXD,2021-01-05
GLXD,2021-01-05
CPXD,2021-01-05
MCXD,2021-01-05
NFXD,2021-01-05
MTXD,2021-01-05
MKXD,2021-01-05
KNXD,2021-01-05
NCXD,2021-01-06
TPXD,2021-01-06
KKXD,2021-01-06
NFXD,2021-01-06
MTXD,2021-01-06
GLXD,2021-01-06
TLXD,2021-01-06
CPXD,2021-01-06
KNXD,2021-01-06
MKXD,2021-01-06
MCXD,2021-01-06
MCXD,2021-01-07
MTXD,2021-01-07
NFXD,2021-01-07
KNXD,2021-01-07
NCXD,2021-01-07
CPXD,2021-01-07
GLXD,2021-01-07
TLXD,2021-01-07
TPXD,2021-01-07
KKXD,2021-01-07
MKXD,2021-01-07
TLXD,2021-01-08
MTXD,2021-01-08
MKXD,2021-01-08
MCXD,2021-01-08
NFXD,2021-01-08
GLXD,2021-01-08
KNXD,2021-01-08
TPXD,2021-01-08
NCXD,2021-01-08
CPXD,2021-01-08
KKXD,2021-01-08
NFXD,2021-01-11
GLXD,2021-01-11
CPXD,2021-01-11
MTXD,2021-01-11
NCXD,2021-01-11
KNXD,2021-01-11
MCXD,2021-01-11
TPXD,2021-01-11
TLXD,2021-01-11
KKXD,2021-01-11
MKXD,2021-01-11
MTXD,2021-01-12
TLXD,2021-01-12
TPXD,2021-01-12
MCXD,2021-01-12
KKXD,2021-01-12
NCXD,2021-01-12
CPXD,2021-01-12
NFXD,2021-01-12
GLXD,2021-01-12
KNXD,2021-01-12
MKXD,2021-01-12
NCXD,2021-01-13
TPXD,2021-01-13
CPXD,2021-01-13
MTXD,2021-01-13
MKXD,2021-01-13
TLXD,2021-01-13
GLXD,2021-01-13
NFXD,2021-01-13
MCXD,2021-01-13
KNXD,2021-01-13
KKXD,2021-01-13
TLXD,2021-01-14
TPXD,2021-01-14
MCXD,2021-01-14
KKXD,2021-01-14
NFXD,2021-01-14
NCXD,2021-01-14
KNXD,2021-01-14
MKXD,2021-01-14
MTXD,2021-01-14
GLXD,2021-01-14
CPXD,2021-01-14
CPXD,2021-01-15
ABCF,2021-01-15
MKXD,2021-01-15
TLXD,2021-01-15
QRSTF,2021-01-15
JKLF,2021-01-15
DEFF,2021-01-15
MNOF,2021-01-15
KNXD,2021-01-15
NCXD,2021-01-15
TPXD,2021-01-15
GLXD,2021-01-15
MTXD,2021-01-15
KKXD,2021-01-15
XYZF,2021-01-15
NFXD,2021-01-15
GHIF,2021-01-15
MCXD,2021-01-15
UVWF,2021-01-15
MKXD,2021-01-18
CPXD,2021-01-18
NFXD,2021-01-18
GLXD,2021-01-18
MTXD,2021-01-18
NCXD,2021-01-18
KNXD,2021-01-18
KKXD,2021-01-18
MCXD,2021-01-18
TLXD,2021-01-18
TPXD,2021-01-18
KNXD,2021-01-19
NCXD,2021-01-19
TPXD,2021-01-19
CPXD,2021-01-19
MTXD,2021-01-19
MCXD,2021-01-19
GLXD,2021-01-19
TLXD,2021-01-19
NFXD,2021-01-19
